(30, 7, 18) -0.1 (30, 7, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(30, 7, 18) -0.1 (30, 7, 19) prev_q:-100.32, next_step_max_q:-100.26, new_p:-100.34
(30, 7, 19) -0.1 (30, 7, 21) prev_q:-100.36, next_step_max_q:-100.44, new_p:-100.45
(30, 7, 21) -0.1 (30, 7, 20) prev_q:-100.44, next_step_max_q:-100.35, new_p:-100.44
(30, 7, 20) -0.1 (30, 7, 21) prev_q:-100.45, next_step_max_q:-100.44, new_p:-100.50
(30, 7, 21) -0.1 (30, 7, 20) prev_q:-100.44, next_step_max_q:-100.35, new_p:-100.45
(30, 7, 20) -0.1 (30, 7, 18) prev_q:-100.35, next_step_max_q:-100.27, new_p:-100.36
(30, 7, 18) -0.1 (29, 7, 18) prev_q:-100.27, next_step_max_q:-100.22, new_p:-100.29
(29, 7, 18) -0.1 (29, 7, 17) prev_q:-100.32, next_step_max_q:-100.10, new_p:-100.26
(29, 7, 17) -0.1 (29, 7, 17) prev_q:-100.10, next_step_max_q:-100.10, new_p:-100.15
(29, 7, 17) -0.1 (28, 7, 17) prev_q:-100.15, next_step_max_q:-100.10, new_p:-100.17
(28, 7, 17) -0.1 (28, 7, 17) prev_q:-100.10, next_step_max_q:-100.10, new_p:-100.15
(28, 7, 17) -0.1 (27, 7, 17) prev_q:-100.15, next_step_max_q:-100.10, new_p:-100.17
(27, 7, 17) -0.1 (27, 7, 18) prev_q:-100.10, next_step_max_q:-100.22, new_p:-100.21
(27, 7, 18) -0.1 (27, 7, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(27, 7, 18) -0.1 (26, 7, 18) prev_q:-100.27, next_step_max_q:-100.22, new_p:-100.29
(26, 7, 18) -0.1 (26, 7, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(26, 7, 18) -0.1 (26, 7, 18) prev_q:-100.27, next_step_max_q:-100.27, new_p:-100.32
(26, 7, 18) -0.1 (25, 7, 17) prev_q:-100.32, next_step_max_q:-100.10, new_p:-100.26
(25, 7, 17) -0.1 (26, 7, 16) prev_q:-100.20, next_step_max_q:-100.10, new_p:-100.20
(26, 7, 16) -0.1 (26, 7, 17) prev_q:-100.10, next_step_max_q:-100.10, new_p:-100.15
(26, 7, 17) -0.1 (26, 7, 15) prev_q:-100.20, next_step_max_q:-100.10, new_p:-100.20
(26, 7, 15) -0.1 (26, 7, 16) prev_q:-100.10, next_step_max_q:-100.15, new_p:-100.17
(26, 7, 16) -0.1 (26, 7, 17) prev_q:-100.15, next_step_max_q:-100.10, new_p:-100.17
(26, 7, 17) -0.1 (26, 7, 19) prev_q:-100.10, next_step_max_q:-100.25, new_p:-100.23
(26, 7, 19) -0.1 (25, 7, 19) prev_q:-100.25, next_step_max_q:-100.25, new_p:-100.30
(25, 7, 19) -0.1 (24, 7, 19) prev_q:-100.25, next_step_max_q:-100.25, new_p:-100.30
(24, 7, 19) -0.1 (24, 6, 19) prev_q:-100.25, next_step_max_q:-100.26, new_p:-100.30
(24, 6, 19) -0.1 (24, 6, 17) prev_q:-100.26, next_step_max_q:-100.18, new_p:-100.27
(24, 6, 17) -0.1 (23, 7, 17) prev_q:-100.18, next_step_max_q:-100.10, new_p:-100.19
(23, 7, 17) -0.1 (23, 6, 19) prev_q:-100.10, next_step_max_q:-100.26, new_p:-100.23
(23, 6, 19) -0.1 (24, 7, 17) prev_q:-100.26, next_step_max_q:-100.10, new_p:-100.23
(24, 7, 17) -0.1 (24, 7, 18) prev_q:-100.10, next_step_max_q:-100.22, new_p:-100.21
(24, 7, 18) -0.1 (23, 6, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(23, 6, 18) -0.1 (23, 6, 19) prev_q:-100.32, next_step_max_q:-100.23, new_p:-100.33
(23, 6, 19) -0.1 (23, 6, 20) prev_q:-100.36, next_step_max_q:-100.35, new_p:-100.41
(23, 6, 20) -0.1 (23, 6, 19) prev_q:-100.35, next_step_max_q:-100.23, new_p:-100.34
(23, 6, 19) -0.1 (23, 6, 18) prev_q:-100.23, next_step_max_q:-100.22, new_p:-100.28
(23, 6, 18) -0.1 (23, 6, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(23, 6, 18) -0.1 (22, 6, 18) prev_q:-100.27, next_step_max_q:-100.22, new_p:-100.29
(22, 6, 18) -0.1 (22, 6, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(22, 6, 18) -0.1 (21, 6, 18) prev_q:-100.27, next_step_max_q:-100.22, new_p:-100.29
(21, 6, 18) -0.1 (21, 6, 17) prev_q:-100.32, next_step_max_q:-100.10, new_p:-100.26
(21, 6, 17) -0.1 (21, 6, 17) prev_q:-100.10, next_step_max_q:-100.10, new_p:-100.15
(21, 6, 17) -0.1 (20, 6, 17) prev_q:-100.15, next_step_max_q:-100.10, new_p:-100.17
(20, 6, 17) -0.1 (20, 6, 17) prev_q:-100.10, next_step_max_q:-100.10, new_p:-100.15
(20, 6, 17) -0.1 (20, 6, 15) prev_q:-100.20, next_step_max_q:-100.10, new_p:-100.20
(20, 6, 15) -0.1 (20, 6, 17) prev_q:-100.10, next_step_max_q:-100.15, new_p:-100.17
(20, 6, 17) -0.1 (19, 6, 16) prev_q:-100.15, next_step_max_q:-100.10, new_p:-100.17
(19, 6, 16) -0.1 (19, 6, 17) prev_q:-100.10, next_step_max_q:-100.10, new_p:-100.15
(19, 6, 17) -0.1 (19, 6, 19) prev_q:-100.10, next_step_max_q:-100.26, new_p:-100.23
