,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
173,param_2_low_perf,"[0.25, 0.0]",[20 60],"[0, 0]",egostistical,1,15,0
174,param_3_low_perf,"[0.25, 0.0]",[20 80],"[0, 0]",pomdp,1,22,6
175,param_3_low_perf,"[0.25, 0.0]",[20 80],"[0, 0]",myopic,2,25,12
176,param_3_low_perf,"[0.25, 0.0]",[20 80],"[0, 0]",egostistical,1,15,0
177,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[0, 0]",pomdp,1,22,6
178,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[0, 0]",myopic,2,25,12
179,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[0, 0]",egostistical,1,15,0
180,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[0, 0]",pomdp,1,22,6
181,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[0, 0]",myopic,2,24,12
182,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[0, 0]",egostistical,1,15,0
183,param_6_low_perf,"[0.25, 0.0]",[40 60],"[0, 0]",pomdp,0,22,7
184,param_6_low_perf,"[0.25, 0.0]",[40 60],"[0, 0]",myopic,2,26,12
185,param_6_low_perf,"[0.25, 0.0]",[40 60],"[0, 0]",egostistical,1,15,0
186,param_7_low_perf,"[0.25, 0.0]",[40 80],"[0, 0]",pomdp,0,22,7
187,param_7_low_perf,"[0.25, 0.0]",[40 80],"[0, 0]",myopic,2,25,12
188,param_7_low_perf,"[0.25, 0.0]",[40 80],"[0, 0]",egostistical,1,15,0
189,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[0, 0]",pomdp,1,22,6
190,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[0, 0]",myopic,2,24,12
191,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[0, 0]",egostistical,1,15,0
192,param_1_low_perf,"[0.0, 0.25]",[20 40],"[-1, -1]",pomdp,0,26,7
193,param_1_low_perf,"[0.0, 0.25]",[20 40],"[-1, -1]",myopic,0,31,12
194,param_1_low_perf,"[0.0, 0.25]",[20 40],"[-1, -1]",egostistical,1,15,0
195,param_2_low_perf,"[0.0, 0.25]",[20 60],"[-1, -1]",pomdp,1,16,1
196,param_2_low_perf,"[0.0, 0.25]",[20 60],"[-1, -1]",myopic,0,31,12
197,param_2_low_perf,"[0.0, 0.25]",[20 60],"[-1, -1]",egostistical,1,15,0
198,param_3_low_perf,"[0.0, 0.25]",[20 80],"[-1, -1]",pomdp,1,16,1
199,param_3_low_perf,"[0.0, 0.25]",[20 80],"[-1, -1]",myopic,0,33,12
200,param_3_low_perf,"[0.0, 0.25]",[20 80],"[-1, -1]",egostistical,1,15,0
201,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[-1, -1]",pomdp,1,16,1
202,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[-1, -1]",myopic,0,32,12
203,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[-1, -1]",egostistical,1,15,0
