,param,risk,position,intervention,agent,cumlative_risk,cumlative_risk_low,cumlative_risk_high,travel_time,request_time,request_count
215,param_12_low,"[0.0, 0.0]",[ 60 100],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
216,param_13_low,"[0.0, 0.0]",[ 60 120],"[0, -1]",pomdp,0,0,0,15,0,0
217,param_13_low,"[0.0, 0.0]",[ 60 120],"[0, -1]",myopic,1,1,0,29,10,2
218,param_13_low,"[0.0, 0.0]",[ 60 120],"[0, -1]",egoistical,0,0,0,15,0,0
219,param_13_low,"[0.0, 0.0]",[ 60 120],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
220,param_14_low,"[0.0, 0.0]",[ 60 140],"[0, -1]",pomdp,0,0,0,15,0,0
221,param_14_low,"[0.0, 0.0]",[ 60 140],"[0, -1]",myopic,1,1,0,28,10,2
222,param_14_low,"[0.0, 0.0]",[ 60 140],"[0, -1]",egoistical,0,0,0,15,0,0
223,param_14_low,"[0.0, 0.0]",[ 60 140],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
224,param_15_low,"[0.0, 0.0]",[ 20 140],"[0, -1]",pomdp,0,0,0,15,0,0
225,param_15_low,"[0.0, 0.0]",[ 20 140],"[0, -1]",myopic,1,1,0,31,10,2
226,param_15_low,"[0.0, 0.0]",[ 20 140],"[0, -1]",egoistical,0,0,0,15,0,0
227,param_15_low,"[0.0, 0.0]",[ 20 140],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
228,param_16_low,"[0.0, 0.0]",[ 80 100],"[0, -1]",pomdp,0,0,0,15,0,0
229,param_16_low,"[0.0, 0.0]",[ 80 100],"[0, -1]",myopic,0,0,0,28,10,2
230,param_16_low,"[0.0, 0.0]",[ 80 100],"[0, -1]",egoistical,0,0,0,15,0,0
231,param_16_low,"[0.0, 0.0]",[ 80 100],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
232,param_17_low,"[0.0, 0.0]",[ 80 120],"[0, -1]",pomdp,0,0,0,15,0,0
233,param_17_low,"[0.0, 0.0]",[ 80 120],"[0, -1]",myopic,1,1,0,28,10,2
234,param_17_low,"[0.0, 0.0]",[ 80 120],"[0, -1]",egoistical,0,0,0,15,0,0
235,param_17_low,"[0.0, 0.0]",[ 80 120],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
236,param_18_low,"[0.0, 0.0]",[ 80 140],"[0, -1]",pomdp,0,0,0,15,0,0
237,param_18_low,"[0.0, 0.0]",[ 80 140],"[0, -1]",myopic,1,1,0,27,10,2
238,param_18_low,"[0.0, 0.0]",[ 80 140],"[0, -1]",egoistical,0,0,0,15,0,0
239,param_18_low,"[0.0, 0.0]",[ 80 140],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
240,param_19_low,"[0.0, 0.0]",[100 120],"[0, -1]",pomdp,0,0,0,15,0,0
241,param_19_low,"[0.0, 0.0]",[100 120],"[0, -1]",myopic,1,1,0,27,10,2
242,param_19_low,"[0.0, 0.0]",[100 120],"[0, -1]",egoistical,0,0,0,15,0,0
243,param_19_low,"[0.0, 0.0]",[100 120],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
244,param_20_low,"[0.0, 0.0]",[100 140],"[0, -1]",pomdp,0,0,0,15,0,0
245,param_20_low,"[0.0, 0.0]",[100 140],"[0, -1]",myopic,1,1,0,26,10,2
246,param_20_low,"[0.0, 0.0]",[100 140],"[0, -1]",egoistical,0,0,0,15,0,0
247,param_20_low,"[0.0, 0.0]",[100 140],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
248,param_21_low,"[0.0, 0.0]",[120 140],"[0, -1]",pomdp,0,0,0,15,0,0
249,param_21_low,"[0.0, 0.0]",[120 140],"[0, -1]",myopic,1,1,0,26,10,2
250,param_21_low,"[0.0, 0.0]",[120 140],"[0, -1]",egoistical,0,0,0,15,0,0
251,param_21_low,"[0.0, 0.0]",[120 140],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
252,param_1_low,"[0.0, 0.0]",[20 40],"[0, 0]",pomdp,0,0,0,15,0,0
253,param_1_low,"[0.0, 0.0]",[20 40],"[0, 0]",myopic,1,1,0,25,10,2
254,param_1_low,"[0.0, 0.0]",[20 40],"[0, 0]",egoistical,0,0,0,15,0,0
255,param_1_low,"[0.0, 0.0]",[20 40],"[0, 0]",pomdp_wo_perf,0,0,0,15,0,0
256,param_2_low,"[0.0, 0.0]",[20 60],"[0, 0]",pomdp,0,0,0,15,0,0
257,param_2_low,"[0.0, 0.0]",[20 60],"[0, 0]",myopic,2,2,0,23,10,2
258,param_2_low,"[0.0, 0.0]",[20 60],"[0, 0]",egoistical,0,0,0,15,0,0
