,param,initial_state,intervention,agent,cumlative_risk,travel_time,request_time
149,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
150,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
151,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
152,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
153,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
154,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
155,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
156,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
157,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
158,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
159,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
160,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
161,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
162,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
163,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
164,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
165,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
166,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
167,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
168,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
169,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,27,16
170,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
171,param_2_2,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
172,param_2_2,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,23,14
173,param_2_2,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
174,param_2_3,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
175,param_2_3,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,15,12
176,param_2_3,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
177,param_2_4,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
178,param_2_4,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
179,param_2_4,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
180,param_2_6,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
181,param_2_6,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,24,14
182,param_2_6,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
183,param_2_7,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
184,param_2_7,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,23,13
185,param_2_7,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
186,param_2_8,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
187,param_2_8,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,22,12
188,param_2_8,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
189,param_2_9,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
190,param_2_9,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,27,12
191,param_2_9,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
192,param_2_10,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
193,param_2_10,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,26,14
194,param_2_10,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
195,param_2_11,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
196,param_2_11,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,15,12
197,param_2_11,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
198,param_2_12,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
199,param_2_12,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
200,param_2_12,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
201,param_2_13,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
202,param_2_13,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.0,15,12
203,param_2_13,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
204,param_2_14,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
205,param_2_14,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
206,param_2_14,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
207,param_2_15,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
