,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
181,param_13_4,"[0.25, 0.25]","[0, 0]",0.0,0,-6
182,param_13_4,"[0.5, 0.25]","[0, 0]",0.0,1,0
183,param_13_4,"[0.75, 0.25]","[0, 0]",0.0,1,0
184,param_13_4,"[1.0, 0.25]","[0, 0]",0.0,1,0
185,param_13_4,"[0.0, 0.5]","[0, 0]",0.0,-4,-6
186,param_13_4,"[0.25, 0.5]","[0, 0]",0.0,-4,-6
187,param_13_4,"[0.5, 0.5]","[0, 0]",0.0,2,-6
188,param_13_4,"[0.75, 0.5]","[0, 0]",0.0,2,-6
189,param_13_4,"[1.0, 0.5]","[0, 0]",0.0,2,-6
190,param_13_4,"[0.0, 0.75]","[0, 0]",0.0,-4,-6
191,param_13_4,"[0.25, 0.75]","[0, 0]",0.0,-4,-6
192,param_13_4,"[0.5, 0.75]","[0, 0]",0.0,2,-6
193,param_13_4,"[0.75, 0.75]","[0, 0]",0.0,2,-6
194,param_13_4,"[1.0, 0.75]","[0, 0]",0.0,2,-6
195,param_13_4,"[0.0, 1.0]","[0, 0]",0.0,-4,-6
196,param_13_4,"[0.25, 1.0]","[0, 0]",0.0,-4,-6
197,param_13_4,"[0.5, 1.0]","[0, 0]",0.0,2,-6
198,param_13_4,"[0.75, 1.0]","[0, 0]",0.0,2,-6
199,param_13_4,"[1.0, 1.0]","[0, 0]",0.0,2,-6
200,param_13_5,"[0.0, 0.0]","[-1, -1]",0.0,-11,-16
201,param_13_5,"[0.25, 0.0]","[-1, -1]",0.0,-7,-10
202,param_13_5,"[0.5, 0.0]","[-1, -1]",0.0,-2,-4
203,param_13_5,"[0.75, 0.0]","[-1, -1]",0.0,-2,-4
204,param_13_5,"[1.0, 0.0]","[-1, -1]",0.0,-2,-4
205,param_13_5,"[0.0, 0.25]","[-1, -1]",0.0,-8,-10
206,param_13_5,"[0.25, 0.25]","[-1, -1]",0.0,2,2
207,param_13_5,"[0.5, 0.25]","[-1, -1]",0.0,0,2
208,param_13_5,"[0.75, 0.25]","[-1, -1]",0.0,0,2
209,param_13_5,"[1.0, 0.25]","[-1, -1]",0.0,0,2
210,param_13_5,"[0.0, 0.5]","[-1, -1]",0.0,-6,2
211,param_13_5,"[0.25, 0.5]","[-1, -1]",0.0,-4,5
212,param_13_5,"[0.5, 0.5]","[-1, -1]",0.0,0,8
213,param_13_5,"[0.75, 0.5]","[-1, -1]",0.0,0,8
214,param_13_5,"[1.0, 0.5]","[-1, -1]",0.0,0,8
215,param_13_5,"[0.0, 0.75]","[-1, -1]",0.0,-6,2
216,param_13_5,"[0.25, 0.75]","[-1, -1]",0.0,-4,5
217,param_13_5,"[0.5, 0.75]","[-1, -1]",0.0,0,8
218,param_13_5,"[0.75, 0.75]","[-1, -1]",0.0,0,8
219,param_13_5,"[1.0, 0.75]","[-1, -1]",0.0,0,8
220,param_13_5,"[0.0, 1.0]","[-1, -1]",0.0,-6,2
221,param_13_5,"[0.25, 1.0]","[-1, -1]",0.0,-4,5
222,param_13_5,"[0.5, 1.0]","[-1, -1]",0.0,0,8
223,param_13_5,"[0.75, 1.0]","[-1, -1]",0.0,0,8
224,param_13_5,"[1.0, 1.0]","[-1, -1]",0.0,0,8
225,param_13_5,"[0.0, 0.0]","[0, 0]",0.0,0,-12
226,param_13_5,"[0.25, 0.0]","[0, 0]",0.0,0,-6
227,param_13_5,"[0.5, 0.0]","[0, 0]",0.0,-1,-6
228,param_13_5,"[0.75, 0.0]","[0, 0]",0.0,-1,-6
229,param_13_5,"[1.0, 0.0]","[0, 0]",0.0,-1,-6
230,param_13_5,"[0.0, 0.25]","[0, 0]",-0.5,0,-6
231,param_13_5,"[0.25, 0.25]","[0, 0]",-0.5,0,0
232,param_13_5,"[0.5, 0.25]","[0, 0]",-0.5,-1,0
233,param_13_5,"[0.75, 0.25]","[0, 0]",-0.5,-1,0
234,param_13_5,"[1.0, 0.25]","[0, 0]",-0.5,-1,0
235,param_13_5,"[0.0, 0.5]","[0, 0]",0.0,-5,-6
236,param_13_5,"[0.25, 0.5]","[0, 0]",0.0,-5,-1
237,param_13_5,"[0.5, 0.5]","[0, 0]",0.0,-4,-1
238,param_13_5,"[0.75, 0.5]","[0, 0]",0.0,-4,-1
239,param_13_5,"[1.0, 0.5]","[0, 0]",0.0,-4,-1
240,param_13_5,"[0.0, 0.75]","[0, 0]",0.0,-5,-6
241,param_13_5,"[0.25, 0.75]","[0, 0]",0.0,-5,-1
242,param_13_5,"[0.5, 0.75]","[0, 0]",0.0,-4,-1
