,param,scenario,agent,cumlative_risk,travel_time,request_time
244,param_6_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
245,param_6_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
246,param_6_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
247,param_6_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
248,param_6_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
249,param_6_6,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
250,param_6_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
251,param_6_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
252,param_6_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
253,param_6_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
254,param_6_7,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
255,param_6_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
256,param_6_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
257,param_6_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
258,param_6_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
259,param_6_8,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
260,param_6_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
261,param_6_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
262,param_6_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
263,param_6_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
264,param_6_9,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
265,param_6_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
266,param_6_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
267,param_6_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
268,param_6_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
269,param_6_10,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
270,param_6_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
271,param_6_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
272,param_6_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
273,param_6_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
274,param_6_11,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
275,param_6_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
276,param_6_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
277,param_6_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
278,param_6_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
279,param_6_12,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
280,param_6_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
281,param_6_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
282,param_6_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
283,param_6_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
284,param_6_13,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
285,param_6_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
286,param_6_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
287,param_6_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
288,param_6_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
289,param_6_14,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
290,param_6_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
291,param_6_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
292,param_6_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
293,param_6_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
294,param_6_15,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
295,param_7_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
296,param_7_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
297,param_7_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
298,param_7_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
299,param_7_1,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
300,param_7_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
301,param_7_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
302,param_7_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
303,param_7_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
304,param_7_2,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
305,param_7_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
306,param_7_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
307,param_7_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
308,param_7_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
309,param_7_7,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
310,param_7_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
311,param_7_4,"[0.0, 0.0][-1, -1]",myopic,0.5,15,12
312,param_7_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
313,param_7_4,"[0.0, 0.0][-1, -1]",myopic,0.5,15,12
314,param_7_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
