,param,risk,intervention,agent,cumlative_risk,travel_time,request_time
250,param_13_9,"[0.25, 0.0]","[-1, 0]",myopic,0,25,12
251,param_13_9,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
252,param_13_10,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
253,param_13_10,"[0.25, 0.0]","[-1, 0]",myopic,0,23,12
254,param_13_10,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
255,param_13_11,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
256,param_13_11,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
257,param_13_11,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
258,param_13_12,"[0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
259,param_13_12,"[0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
260,param_13_12,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
261,param_13_13,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
262,param_13_13,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
263,param_13_13,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
264,param_13_14,"[0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
265,param_13_14,"[0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
266,param_13_14,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
267,param_13_15,"[0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
268,param_13_15,"[0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
269,param_13_15,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
270,param_13_1,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
271,param_13_1,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
272,param_13_1,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
273,param_13_2,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
274,param_13_2,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
275,param_13_2,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
276,param_13_3,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
277,param_13_3,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
278,param_13_3,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
279,param_13_4,"[0.25, 0.0]","[0, -1]",pomdp,0.5,15,0
280,param_13_4,"[0.25, 0.0]","[0, -1]",myopic,0.5,15,12
281,param_13_4,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
282,param_13_5,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
283,param_13_5,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
284,param_13_5,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
285,param_13_6,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
286,param_13_6,"[0.25, 0.0]","[0, -1]",myopic,0,22,12
287,param_13_6,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
288,param_13_7,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
289,param_13_7,"[0.25, 0.0]","[0, -1]",myopic,0,22,12
290,param_13_7,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
291,param_13_8,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
292,param_13_8,"[0.25, 0.0]","[0, -1]",myopic,0,22,12
293,param_13_8,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
294,param_13_9,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
295,param_13_9,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
296,param_13_9,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
297,param_13_10,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
298,param_13_10,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
299,param_13_10,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
300,param_13_11,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
301,param_13_11,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
302,param_13_11,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
303,param_13_12,"[0.25, 0.0]","[0, -1]",pomdp,0.5,15,0
304,param_13_12,"[0.25, 0.0]","[0, -1]",myopic,0.5,15,12
305,param_13_12,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
306,param_13_13,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
307,param_13_13,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
308,param_13_13,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
309,param_13_14,"[0.25, 0.0]","[0, -1]",pomdp,0.5,15,0
310,param_13_14,"[0.25, 0.0]","[0, -1]",myopic,0.5,15,12
311,param_13_14,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
312,param_13_15,"[0.25, 0.0]","[0, -1]",pomdp,0.5,15,0
313,param_13_15,"[0.25, 0.0]","[0, -1]",myopic,0.5,15,12
314,param_13_15,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
315,param_13_1,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
316,param_13_1,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
317,param_13_1,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
318,param_13_2,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
319,param_13_2,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
320,param_13_2,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
321,param_13_3,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
322,param_13_3,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
323,param_13_3,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
324,param_13_4,"[0.25, 0.0]","[0, 0]",pomdp,0.5,15,0
325,param_13_4,"[0.25, 0.0]","[0, 0]",myopic,0.5,15,12
326,param_13_4,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
