,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
137,param_4,"[0.0, 0.0]",[ 20 100],"[0, -1]",egostistical,0.0,15,0
138,param_5,"[0.0, 0.0]",[ 20 120],"[0, -1]",pomdp,0.0,15,0
139,param_5,"[0.0, 0.0]",[ 20 120],"[0, -1]",myopic,0.0,15,12
140,param_5,"[0.0, 0.0]",[ 20 120],"[0, -1]",egostistical,0.0,15,0
141,param_6,"[0.0, 0.0]",[40 60],"[0, -1]",pomdp,0.0,15,0
142,param_6,"[0.0, 0.0]",[40 60],"[0, -1]",myopic,0.0,15,12
143,param_6,"[0.0, 0.0]",[40 60],"[0, -1]",egostistical,0.0,15,0
144,param_7,"[0.0, 0.0]",[40 80],"[0, -1]",pomdp,0.0,15,0
145,param_7,"[0.0, 0.0]",[40 80],"[0, -1]",myopic,0.0,15,12
146,param_7,"[0.0, 0.0]",[40 80],"[0, -1]",egostistical,0.0,15,0
147,param_8,"[0.0, 0.0]",[ 40 100],"[0, -1]",pomdp,0.0,15,0
148,param_8,"[0.0, 0.0]",[ 40 100],"[0, -1]",myopic,0.0,15,12
149,param_8,"[0.0, 0.0]",[ 40 100],"[0, -1]",egostistical,0.0,15,0
150,param_9,"[0.0, 0.0]",[ 40 120],"[0, -1]",pomdp,0.0,15,0
151,param_9,"[0.0, 0.0]",[ 40 120],"[0, -1]",myopic,0.0,15,12
152,param_9,"[0.0, 0.0]",[ 40 120],"[0, -1]",egostistical,0.0,15,0
153,param_10,"[0.0, 0.0]",[ 40 140],"[0, -1]",pomdp,0.0,15,0
154,param_10,"[0.0, 0.0]",[ 40 140],"[0, -1]",myopic,0.0,22,12
155,param_10,"[0.0, 0.0]",[ 40 140],"[0, -1]",egostistical,0.0,15,0
156,param_11,"[0.0, 0.0]",[60 80],"[0, -1]",pomdp,0.0,15,0
157,param_11,"[0.0, 0.0]",[60 80],"[0, -1]",myopic,0.0,15,12
158,param_11,"[0.0, 0.0]",[60 80],"[0, -1]",egostistical,0.0,15,0
159,param_12,"[0.0, 0.0]",[ 60 100],"[0, -1]",pomdp,0.0,15,0
160,param_12,"[0.0, 0.0]",[ 60 100],"[0, -1]",myopic,0.0,15,12
161,param_12,"[0.0, 0.0]",[ 60 100],"[0, -1]",egostistical,0.0,15,0
162,param_13,"[0.0, 0.0]",[ 60 120],"[0, -1]",pomdp,0.0,15,0
163,param_13,"[0.0, 0.0]",[ 60 120],"[0, -1]",myopic,0.0,15,12
164,param_13,"[0.0, 0.0]",[ 60 120],"[0, -1]",egostistical,0.0,15,0
165,param_14,"[0.0, 0.0]",[ 60 140],"[0, -1]",pomdp,0.0,15,0
166,param_14,"[0.0, 0.0]",[ 60 140],"[0, -1]",myopic,0.0,22,12
167,param_14,"[0.0, 0.0]",[ 60 140],"[0, -1]",egostistical,0.0,15,0
