,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
141,param_2_2,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,-8,-14
142,param_2_3,"risk:[0.0, 0.25]","int:[-1, -1]",0.5,0,-12
143,param_2_4,"risk:[0.0, 0.25]","int:[-1, -1]",0.5,0,-12
144,param_2_6,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,-9,-14
145,param_2_7,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,-8,-13
146,param_2_8,"risk:[0.0, 0.25]","int:[-1, -1]",0.5,-7,-12
147,param_2_9,"risk:[0.0, 0.25]","int:[-1, -1]",0.5,-12,-12
148,param_2_10,"risk:[0.0, 0.25]","int:[-1, -1]",0.5,-11,-14
149,param_2_11,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,0,-12
150,param_2_12,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,0,-12
151,param_2_13,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,0,-12
152,param_2_14,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,0,-12
153,param_2_15,"risk:[0.0, 0.25]","int:[-1, -1]",0.0,0,-12
154,param_2_1,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
155,param_2_2,"risk:[0.0, 0.25]","int:[0, 0]",0.5,0,-12
156,param_2_3,"risk:[0.0, 0.25]","int:[0, 0]",0.5,0,-12
157,param_2_4,"risk:[0.0, 0.25]","int:[0, 0]",0.5,0,-12
158,param_2_6,"risk:[0.0, 0.25]","int:[0, 0]",0.5,0,-12
159,param_2_7,"risk:[0.0, 0.25]","int:[0, 0]",0.5,0,-12
160,param_2_8,"risk:[0.0, 0.25]","int:[0, 0]",0.5,0,-12
161,param_2_9,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-11
162,param_2_10,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
163,param_2_11,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
164,param_2_12,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
